ID,Label,Pred
Ligand_1187,0,0.004099196671877523
Ligand_1195,0,0.004102316889658921
Ligand_1196,0,0.004099575524478963
Ligand_1197,0,0.004318813413759423
Ligand_1200,0,0.00412152671777628
Ligand_1205,0,0.004099340899429864
Ligand_1207,0,0.00410018317376555
Ligand_1217,0,0.004100874546761735
Ligand_1224,0,0.004099270040459143
Ligand_1227,0,0.004099505629316943
Ligand_1249,0,0.004128310127017473
Ligand_1253,0,0.004393522642690118
Ligand_1254,0,0.004108406735370632
Ligand_1267,0,0.004235660292576989
Ligand_1325,0,0.004101035648608372
Ligand_1327,0,0.004268521283601599
Ligand_1348,0,0.004288396533009396
Ligand_1355,0,0.004136561084814783
Ligand_1360,0,0.004117620735134704
Ligand_1367,0,0.004114504285567722
Ligand_1369,0,0.004801473250158053
Ligand_1426,0,0.004114421975989594
Ligand_1434,0,0.004111075258801243
Ligand_1435,0,0.004351090460222874
Ligand_1440,0,0.00411464368884404
Ligand_1451,0,0.004105824044039843
Ligand_1452,0,0.004099388254177587
Ligand_1485,0,0.004130651124668727
Ligand_1493,0,0.004122392828774506
Ligand_1502,0,0.005048641279602545
Ligand_1512,0,0.004264918628752181
Ligand_1516,0,0.004116155719539647
Ligand_1525,0,0.004231570109417769
Ligand_1530,0,0.004100083243413049
Ligand_1545,0,0.004127092847695196
Ligand_1550,0,0.004101301281745821
Ligand_1553,0,0.004236159631282342
Ligand_1555,0,0.0041079610839926325
Ligand_1560,0,0.004102288744105589
Ligand_1566,0,0.004104805051191168
Ligand_1572,0,0.004099299037033332
Ligand_1575,0,0.004120849190952209
Ligand_1577,0,0.004111869629310253
Ligand_1590,0,0.00410192029641542
Ligand_1608,0,0.004110216068593074
Ligand_1609,0,0.004101286523642764
Ligand_1613,0,0.004322527843899285
Ligand_1614,0,0.004102284208487375
Ligand_1619,0,0.004101821881637039
Ligand_1625,0,0.004112673257334147
Ligand_1644,0,0.004103640071592502
Ligand_1657,0,0.004188167379036468
Ligand_1672,0,0.004351141075908996
Ligand_1681,0,0.004105054794491324
Ligand_1691,0,0.004102746249862264
Ligand_1696,0,0.004133260068844571
Ligand_1703,0,0.004103331304552754
Ligand_1717,0,0.004101013662282613
Ligand_1722,0,0.004099182619801354
Ligand_1741,0,0.004106664846474175
Ligand_1749,0,0.004116841790887225
Ligand_1754,0,0.004099228157062938
Ligand_1755,0,0.004100526423461577
Ligand_1757,0,0.0041116183222118016
Ligand_1761,0,0.004103319049692133
Ligand_1779,0,0.004138587049323164
Ligand_1782,0,0.004103932039015531
Ligand_1783,0,0.004100578764141626
Ligand_1786,0,0.004110272117715601
Ligand_1792,0,0.004111200166219447
Ligand_1795,0,0.004107440231453737
Ligand_1809,0,0.004099852570861728
Ligand_1812,0,0.004099965250989711
Ligand_1839,0,0.004145180395655314
Ligand_1844,0,0.004194385463415599
Ligand_1887,0,0.004103689091617355
Ligand_1928,0,0.004195223039277072
Ligand_1939,0,0.004112011884828542
Ligand_1978,0,0.004306443430869149
Ligand_2029,0,0.016390342879929548
Ligand_2041,0,0.004122828132752206
Ligand_2059,0,0.004218620898355971
Ligand_2073,0,0.0041804631945422735
Ligand_2077,0,0.004133704485994758
Ligand_2093,0,0.004224305407835691
Ligand_2094,0,0.004113886925361711
Ligand_2097,0,0.00409977233557222
Ligand_2098,0,0.004099536683116443
Ligand_2110,0,0.0041020079945495785
Ligand_2114,0,0.004110495198469143
Ligand_2116,0,0.0041305700244521305
Ligand_2119,0,0.004259030558877861
Ligand_2125,0,0.004128119984463986
Ligand_2136,0,0.004105404123766919
Ligand_2137,0,0.004105016785867238
Ligand_2145,0,0.004099828520427828
Ligand_2146,0,0.004099846829100173
Ligand_2147,0,0.004099570509049964
Ligand_2148,0,0.004099827400293826
Ligand_2153,0,0.004132927427161559
Ligand_2154,0,0.004106976693597144
Ligand_2161,0,0.00409919240688116
Ligand_2162,0,0.004099370711377452
Ligand_2175,0,0.004099214100594412
Ligand_2182,0,0.004106031457818552
Ligand_2188,0,0.004100904576550226
Ligand_2196,0,0.004231139024178333
Ligand_2200,0,0.004111999029838395
Ligand_2209,0,0.0040998146355386515
Ligand_2226,0,0.004221009312843006
Ligand_2238,0,0.00420214536147497
Ligand_2244,0,0.004107083395588327
Ligand_2260,0,0.004113029604339728
Ligand_2273,0,0.004108932424548089
Ligand_2275,0,0.004143353085925209
Ligand_2344,0,0.004153925610350453
Ligand_2347,0,0.004100047605774367
Ligand_2354,0,0.0040994427337940325
Ligand_2371,0,0.0041059403481384545
Ligand_2382,0,0.004102784674906189
Ligand_2387,0,0.004100514804330568
Ligand_2399,0,0.004121515508993742
Ligand_2419,0,0.004099549849549407
Ligand_2432,0,0.004100281950607778
Ligand_2435,0,0.004191608426445111
Ligand_2436,0,0.00409957203318059
Ligand_2437,0,0.004132481327283225
Ligand_2440,0,0.005476829390239491
Ligand_2449,0,0.0041022415817526395
Ligand_2452,0,0.004143655658154965
Ligand_2465,0,0.004103419284388077
Ligand_2469,0,0.004099584575130635
Ligand_2485,0,0.004099347237172411
Ligand_2505,0,0.004109129808603356
Ligand_2511,0,0.004106439020875274
Ligand_2514,0,0.005699309190578502
Ligand_2515,0,0.004389348609322727
Ligand_2531,0,0.004170466055789785
Ligand_2549,0,0.0041173147936134965
Ligand_2553,0,0.0041022183979885826
Ligand_2561,0,0.00411225468950369
Ligand_2562,0,0.004100907393266873
Ligand_2572,0,0.004119257016337456
Ligand_2579,0,0.004102664633045374
Ligand_2580,0,0.004101642800090702
Ligand_2581,0,0.004100414525150544
Ligand_2582,0,0.0041006384614396
Ligand_2587,0,0.004099395083348022
Ligand_2591,0,0.00411048358999376
Ligand_2595,0,0.004100538122884069
Ligand_2603,0,0.004144108864714159
Ligand_2610,0,0.004101365861690262
Ligand_2611,0,0.004100018599178511
Ligand_2613,0,0.004109038165424919
Ligand_2617,0,0.004111633038948796
Ligand_2620,0,0.004104581668709281
Ligand_2621,0,0.004103361647988161
Ligand_2622,0,0.004099325124746112
Ligand_2629,0,0.004121966010744454
Ligand_2635,0,0.004100086110103428
Ligand_2668,0,0.004120774368211006
Ligand_2719,0,0.0042720253799464645
Ligand_2753,0,0.0041496467667153794
Ligand_2757,0,0.004187077302583393
Ligand_2764,0,0.004188386292830784
Ligand_2786,0,0.004102147053100988
Ligand_2794,0,0.00723489172986052
Ligand_2804,0,0.004113052194479183
Ligand_2824,0,0.004107785252559621
Ligand_2827,0,0.004129698913260958
Ligand_2841,0,0.0041061249023477
Ligand_2856,0,0.004158368967271005
Ligand_2872,0,0.004107653275062457
Ligand_2893,0,0.004104007859531203
Ligand_2914,0,0.00410550548636793
Ligand_2918,0,0.004102480731151966
Ligand_2925,0,0.00411332079064503
Ligand_2939,0,0.004189326552909393
Ligand_2958,0,0.004100918947037447
Ligand_2973,0,0.004124037127724509
Ligand_2976,0,0.004106952097408386
Ligand_2992,0,0.004121971131589581
Ligand_3013,0,0.004100904483705762
Ligand_3014,0,0.00410185102182286
Ligand_3024,0,0.004102322193000667
Ligand_3025,0,0.004103537156242952
Ligand_3026,0,0.004100970652217332
Ligand_3029,0,0.0041009758610747625
Ligand_3063,0,0.00411622970915078
